bfly21_tmp(1)=6228+j6113, temp_bfly21(1)=1594368+j1564928, bfly21(1)=6228+j6113
bfly21_tmp(2)=6406+j6273, temp_bfly21(2)=1639936+j1605888, bfly21(2)=6406+j6273
bfly21_tmp(3)=288+j95, temp_bfly21(3)=73728+j24320, bfly21(3)=288+j95
bfly21_tmp(4)=116+j31, temp_bfly21(4)=7936+j-29696, bfly21(4)=31+j-116
bfly21_tmp(5)=81+j-90, temp_bfly21(5)=20736+j-23040, bfly21(5)=81+j-90
bfly21_tmp(6)=14+j185, temp_bfly21(6)=36019+j30951, bfly21(6)=141+j121
bfly21_tmp(7)=95+j62, temp_bfly21(7)=24320+j15872, bfly21(7)=95+j62
bfly21_tmp(8)=56+j-409, temp_bfly21(8)=-84165+j63893, bfly21(8)=-329+j250
bfly21_tmp(9)=580+j-221, temp_bfly21(9)=148480+j-56576, bfly21(9)=580+j-221
bfly21_tmp(10)=-788+j2463, temp_bfly21(10)=-201728+j630528, bfly21(10)=-788+j2463
bfly21_tmp(11)=940+j173, temp_bfly21(11)=240640+j44288, bfly21(11)=940+j173
bfly21_tmp(12)=-770+j283, temp_bfly21(12)=72448+j197120, bfly21(12)=283+j770
bfly21_tmp(13)=547+j-324, temp_bfly21(13)=140032+j-82944, bfly21(13)=547+j-324
bfly21_tmp(14)=599+j-218, temp_bfly21(14)=68961+j-147877, bfly21(14)=269+j-578
bfly21_tmp(15)=-1027+j1284, temp_bfly21(15)=-262912+j328704, bfly21(15)=-1027+j1284
bfly21_tmp(16)=-225+j2284, temp_bfly21(16)=454129+j-372679, bfly21(16)=1774+j-1456
bfly21_tmp(17)=-815+j-405, temp_bfly21(17)=-208640+j-103680, bfly21(17)=-815+j-405
bfly21_tmp(18)=404+j1100, temp_bfly21(18)=103424+j281600, bfly21(18)=404+j1100
bfly21_tmp(19)=473+j-23, temp_bfly21(19)=121088+j-5888, bfly21(19)=473+j-23
bfly21_tmp(20)=-398+j398, temp_bfly21(20)=101888+j101888, bfly21(20)=398+j398
bfly21_tmp(21)=-644+j890, temp_bfly21(21)=-164864+j227840, bfly21(21)=-644+j890
bfly21_tmp(22)=-266+j-1430, temp_bfly21(22)=-306976+j-210684, bfly21(22)=-1199+j-823
